DATE,BNDX.O
2019-07-31,57.980000000000004
2019-07-30,57.86
2019-07-29,57.870000000000005
2019-07-26,57.845
2019-07-25,57.825
2019-07-24,57.845
2019-07-23,57.71
2019-07-22,57.69
2019-07-19,57.685
2019-07-18,57.665
2019-07-17,57.555
2019-07-16,57.45
2019-07-15,57.394999999999996
2019-07-12,57.235
2019-07-11,57.325
2019-07-10,57.435
2019-07-09,57.545
2019-07-08,57.555
2019-07-05,57.565
2019-07-03,57.625
2019-07-02,57.435
2019-07-01,57.31
2019-06-28,57.315
2019-06-27,57.254999999999995
2019-06-26,57.224999999999994
2019-06-25,57.31
2019-06-24,57.245000000000005
2019-06-21,57.175
2019-06-20,57.265
2019-06-19,57.185
2019-06-18,57.155
2019-06-17,56.905
2019-06-14,56.9
2019-06-13,56.845
2019-06-12,56.765
2019-06-11,56.735
2019-06-10,56.715
2019-06-07,56.785
2019-06-06,56.655
2019-06-05,56.625
2019-06-04,56.504999999999995
2019-06-03,56.455
2019-05-31,56.465
2019-05-30,56.355000000000004
2019-05-29,56.345
2019-05-28,56.265
2019-05-24,56.205
2019-05-23,56.125
2019-05-22,56.055
2019-05-21,55.97
2019-05-20,55.985
2019-05-17,56.035
2019-05-16,56.015
2019-05-15,55.985
2019-05-14,55.905
2019-05-13,55.855000000000004
2019-05-10,55.785
2019-05-09,55.805
2019-05-08,55.815
2019-05-07,55.795
2019-05-06,55.735
2019-05-03,55.735
2019-05-02,55.72
2019-05-01,55.754999999999995
2019-04-30,55.805
2019-04-29,55.75
2019-04-26,55.775000000000006
2019-04-25,55.705
2019-04-24,55.765
2019-04-23,55.61
2019-04-22,55.58
2019-04-18,55.6
2019-04-17,55.455
2019-04-16,55.495000000000005
2019-04-15,55.53
2019-04-12,55.565
2019-04-11,55.715
2019-04-10,55.724999999999994
2019-04-09,55.665
2019-04-08,55.614999999999995
2019-04-05,55.605000000000004
2019-04-04,55.585
2019-04-03,55.565
2019-04-02,55.65
2019-04-01,55.620000000000005
2019-03-29,55.805
2019-03-28,55.83
2019-03-27,55.83
2019-03-26,55.739999999999995
2019-03-25,55.795
2019-03-22,55.739999999999995
2019-03-21,55.55
2019-03-20,55.405
2019-03-19,55.355000000000004
2019-03-18,55.325
2019-03-15,55.269999999999996
2019-03-14,55.269999999999996
2019-03-13,55.265
2019-03-12,55.235
2019-03-11,55.205
2019-03-08,55.254999999999995
2019-03-07,55.215
2019-03-06,55.055
2019-03-05,54.905
2019-03-04,54.835
2019-03-01,54.765
2019-02-28,54.855000000000004
2019-02-27,54.905
2019-02-26,55.004999999999995
2019-02-25,54.995000000000005
2019-02-22,55.025000000000006
2019-02-21,54.955
2019-02-20,54.955
2019-02-19,54.945
2019-02-15,54.915
2019-02-14,54.925
2019-02-13,54.845
2019-02-12,54.825
2019-02-11,54.84
2019-02-08,54.885000000000005
2019-02-07,54.825
2019-02-06,54.785
2019-02-05,54.765
2019-02-04,54.715
2019-02-01,54.7
2019-01-31,54.78
2019-01-30,54.735
2019-01-29,54.68
2019-01-28,54.59
2019-01-25,54.64
2019-01-24,54.644999999999996
2019-01-23,54.495000000000005
2019-01-22,54.465
2019-01-18,54.364999999999995
