DATE,IEF.O
2019-07-31,109.875
2019-07-30,109.595
2019-07-29,109.545
2019-07-26,109.445
2019-07-25,109.445
2019-07-24,109.63499999999999
2019-07-23,109.485
2019-07-22,109.655
2019-07-19,109.62
2019-07-18,109.805
2019-07-17,109.555
2019-07-16,109.025
2019-07-15,109.275
2019-07-12,109.065
2019-07-11,108.945
2019-07-10,109.475
2019-07-09,109.39500000000001
2019-07-08,109.485
2019-07-05,109.60499999999999
2019-07-03,110.295
2019-07-02,110.095
2019-07-01,109.695
2019-06-28,110.025
2019-06-27,109.955
2019-06-26,109.64500000000001
2019-06-25,110.11500000000001
2019-06-24,109.91499999999999
2019-06-21,109.545
2019-06-20,109.985
2019-06-19,109.795
2019-06-18,109.505
2019-06-17,109.305
2019-06-14,109.31
2019-06-13,109.225
2019-06-12,108.965
2019-06-11,108.685
2019-06-10,108.685
2019-06-07,109.215
2019-06-06,108.795
2019-06-05,108.82499999999999
2019-06-04,108.815
2019-06-03,109.205
2019-05-31,108.905
2019-05-30,108.185
2019-05-29,107.795
2019-05-28,107.785
2019-05-24,107.36500000000001
2019-05-23,107.405
2019-05-22,106.745
2019-05-21,106.42500000000001
2019-05-20,106.555
2019-05-17,106.745
2019-05-16,106.695
2019-05-15,106.875
2019-05-14,106.53999999999999
2019-05-13,106.63499999999999
2019-05-10,106.10499999999999
2019-05-09,106.185
2019-05-08,105.91499999999999
2019-05-07,106.125
2019-05-06,105.765
2019-05-03,105.49000000000001
2019-05-02,105.345
2019-05-01,105.655
2019-04-30,105.905
2019-04-29,105.695
2019-04-26,105.88499999999999
2019-04-25,105.63499999999999
2019-04-24,105.715
2019-04-23,105.345
2019-04-22,105.155
2019-04-18,105.32499999999999
2019-04-17,105.07499999999999
2019-04-16,105.055
2019-04-15,105.405
2019-04-12,105.275
2019-04-11,105.765
2019-04-10,105.995
2019-04-09,105.745
2019-04-08,105.565
2019-04-05,105.725
2019-04-04,105.67500000000001
2019-04-03,105.57499999999999
2019-04-02,105.89500000000001
2019-04-01,105.715
2019-03-29,106.67500000000001
2019-03-28,106.845
2019-03-27,106.83500000000001
2019-03-26,106.535
2019-03-25,106.58500000000001
2019-03-22,106.345
2019-03-21,105.555
2019-03-20,105.595
2019-03-19,104.875
2019-03-18,104.955
2019-03-15,105.07499999999999
2019-03-14,104.775
2019-03-13,104.905
2019-03-12,104.91499999999999
2019-03-11,104.63499999999999
2019-03-08,104.745
2019-03-07,104.595
2019-03-06,104.215
2019-03-05,103.955
2019-03-04,103.89500000000001
2019-03-01,103.58500000000001
2019-02-28,104.13
2019-02-27,104.375
2019-02-26,104.735
2019-02-25,104.455
2019-02-22,104.57499999999999
2019-02-21,104.305
2019-02-20,104.61
2019-02-19,104.64500000000001
2019-02-15,104.455
2019-02-14,104.505
2019-02-13,104.06
2019-02-12,104.295
2019-02-11,104.445
2019-02-08,104.625
2019-02-07,104.475
2019-02-06,104.14500000000001
2019-02-05,104.055
2019-02-04,103.88499999999999
2019-02-01,104.11500000000001
2019-01-31,104.85499999999999
2019-01-30,104.36500000000001
2019-01-29,104.155
2019-01-28,103.85499999999999
2019-01-25,103.815
2019-01-24,104.065
2019-01-23,103.755
2019-01-22,103.785
2019-01-18,103.44999999999999
2019-01-17,103.775
2019-01-16,103.94
2019-01-15,104.015
2019-01-14,104.10499999999999
2019-01-11,104.13499999999999
2019-01-10,103.86500000000001
2019-01-09,103.905
2019-01-08,103.86500000000001
2019-01-07,104.10499999999999
2019-01-04,104.39500000000001
2019-01-03,105.235
2019-01-02,104.41
2018-12-31,104.16499999999999
2018-12-28,103.805
2018-12-27,103.235
2018-12-26,102.965
2018-12-24,103.485
2018-12-21,103.195
2018-12-20,103.13499999999999
2018-12-19,103.255
2018-12-18,102.89500000000001
2018-12-17,102.86500000000001
2018-12-14,102.565
2018-12-13,102.38499999999999
2018-12-12,102.345
2018-12-11,102.61500000000001
2018-12-10,102.875
2018-12-07,102.815
2018-12-06,102.515
2018-12-04,102.245
2018-12-03,101.775
2018-11-30,101.775
2018-11-29,101.58500000000001
2018-11-28,101.315
2018-11-27,101.305
2018-11-26,101.215
2018-11-23,101.315
2018-11-21,101.235
2018-11-20,101.265
2018-11-19,101.285
2018-11-16,101.13499999999999
2018-11-15,100.83500000000001
2018-11-14,100.755
2018-11-13,100.535
2018-11-12,100.465
2018-11-09,100.16499999999999
2018-11-08,99.775
2018-11-07,99.91499999999999
2018-11-06,99.935
2018-11-05,100.055
2018-11-02,99.985
2018-11-01,100.515
2018-10-31,100.63499999999999
2018-10-30,100.905
2018-10-29,101.11500000000001
2018-10-26,101.125
2018-10-25,100.67500000000001
2018-10-24,100.92500000000001
2018-10-23,100.375
2018-10-22,100.13499999999999
2018-10-19,100.125
2018-10-18,100.235
2018-10-17,100.065
2018-10-16,100.33500000000001
2018-10-15,100.33500000000001
2018-10-12,100.295
2018-10-11,100.405
2018-10-10,100.015
2018-10-09,99.945
2018-10-08,99.755
