DATE,SDY
2007-01-03,61.97
2007-01-04,62.06
2007-01-05,61.435
2007-01-08,61.46
2007-01-09,61.785
2007-01-16,62.055
2007-01-18,62.97
2007-01-19,62.025
2007-01-22,61.77
2007-01-23,61.87000000000001
2007-01-24,62.14
2007-01-25,61.53
2007-01-26,61.595
2007-01-29,61.59
2007-01-30,61.95
2007-01-31,62.43
2007-02-01,62.68000000000001
2007-02-02,62.915
2007-02-07,63.155
2007-02-08,63.165
2007-02-09,62.975
2007-02-12,63.06
2007-02-13,63.44
2007-02-14,63.905
2007-02-15,63.965
2007-02-16,63.15
2007-02-20,64.315
2007-02-22,64.22
2007-02-26,64.095
2007-03-06,61.97
2007-03-08,62.085
2007-03-12,62.38
2007-03-13,61.445
2007-03-15,61.96
2007-03-16,61.46
2007-03-19,61.835
2007-03-20,62.23
2007-03-22,62.985
2007-03-26,62.98
2007-03-27,62.74
2007-03-28,62.17
2007-03-29,62.355
2007-04-13,62.925
2007-04-16,63.8
2007-04-17,63.935
2007-04-23,64.05
2007-04-30,64.425
2007-05-01,64.175
2007-05-02,64.735
2007-05-04,64.92999999999999
2007-05-08,65.25
2007-05-10,64.935
2007-05-11,65.09
2007-05-15,65.035
2007-05-16,65.38
2007-05-17,64.505
2007-05-21,65.655
2007-05-22,65.785
2007-05-23,65.6
2007-05-24,64.85499999999999
2007-05-25,65.125
2007-05-29,65.36500000000001
2007-05-30,65.62
2007-05-31,65.485
2007-06-01,65.82
2007-06-04,65.725
2007-06-05,65.31
2007-06-06,64.605
2007-06-07,63.39
2007-06-08,64.6
2007-06-11,64.195
2007-06-12,63.375
2007-06-13,64.18
2007-06-14,64.365
2007-06-15,63.805
2007-06-18,63.73
2007-06-19,64.535
2007-06-20,63.38
2007-06-21,63.27
2007-06-22,63.455
2007-06-25,62.88500000000001
2007-06-26,62.675
2007-06-27,63.75
2007-06-28,63.66
2007-06-29,62.89
2007-07-02,63.24
2007-07-03,63.645
2007-07-05,63.345
2007-07-06,63.17
2007-07-09,63.49
2007-07-10,63.03
2007-07-11,62.6
2007-07-12,63.59
2007-07-13,63.765
2007-07-16,63.515
2007-07-17,63.41
2007-07-18,63.105
2007-07-19,63.3
2007-07-20,62.67999999999999
2007-07-23,62.68
2007-07-24,61.91
2007-07-25,62.105
2007-07-26,60.745
2007-07-27,59.165
2007-07-30,59.99
2007-07-31,59.895
2007-08-02,61.595
2007-08-03,59.43
2007-08-06,60.38
2007-08-07,61.62
2007-08-08,61.865
2007-08-09,60.46
2007-08-10,60.93
2007-08-13,60.57
2007-08-14,59.435
2007-08-15,58.67
2007-08-16,61.095
2007-08-17,61.21
2007-08-20,60.83
2007-08-21,61.35
2007-08-22,61.535
2007-08-23,61.34
2007-08-24,61.75
2007-08-27,61.37
2007-08-28,60.05
2007-08-29,60.06
2007-08-30,60.30500000000001
2007-08-31,60.63
2007-09-04,60.74500000000001
2007-09-05,60.44499999999999
2007-09-06,60.58
2007-09-07,58.49
2007-09-10,60.13
2007-09-11,59.435
2007-09-12,60.375
2007-09-13,60.47
2007-09-14,60.395
2007-09-17,60.345
2007-09-18,62.025
2007-09-19,62.725
2007-09-20,62.04
2007-09-21,61.29
2007-09-24,60.575
2007-09-25,60.195
2007-09-26,60.88
2007-09-27,60.665
2007-10-01,61.205
2007-10-02,61.545
2007-10-03,61.545
2007-10-04,61.7
2007-10-05,62.065
2007-10-08,61.77
2007-10-10,59.13
2007-10-11,61.605
2007-10-12,61.16
2007-10-15,61.02
2007-10-16,60.565
2007-10-17,59.51
2007-10-18,59.15
2007-10-19,58.9
2007-10-25,58.305
2007-10-26,58.98
2007-10-29,59.08
2007-10-30,59.075
2007-10-31,59.645
2007-11-01,58.715
2007-11-02,57.705
2007-11-05,57.785
2007-11-06,57.96
2007-11-07,57.15000000000001
2007-11-08,57.57
2007-11-09,57.37
2007-11-12,55.35
2007-11-14,58.13
2007-11-15,56.765
2007-11-16,56.89
2007-11-19,56.27
2007-11-21,56.145
2007-11-23,56.605
2007-11-26,53.505
2007-11-27,56.21
2007-11-28,57.47
2007-11-29,57.36
2007-11-30,55.485
2007-12-03,57.835
2007-12-04,57.425
2007-12-05,58.015
2007-12-11,57.945
2007-12-13,57.225
2007-12-17,56.565
2007-12-18,56.965
2007-12-19,56.49500000000001
2007-12-20,56.88500000000001
2007-12-21,55.935
2007-12-24,56.455
2007-12-26,55.67
2007-12-27,55.62000000000001
2007-12-28,55.45
2007-12-31,55.11
2008-01-02,54.31999999999999
2008-01-03,51.94
2008-01-04,53.27500000000001
2008-01-07,52.88500000000001
2008-01-10,53.65
2008-01-11,53.27500000000001
2008-01-14,53.055
2008-01-17,51.8
2008-01-18,52.44
2008-01-22,50.465
2008-01-23,47.04
2008-01-25,47.13
2008-01-28,52.935
2008-01-30,54.845
2008-02-04,55.885
2008-02-05,52.89
2008-02-07,53.95
2008-02-08,53.685
2008-02-11,53.65
2008-02-12,53.645
2008-02-13,54.045
2008-02-14,53.525
2008-02-15,53.18
2008-02-19,52.93
2008-02-26,54.325
2008-02-28,53.235
2008-02-29,52.18
2008-03-03,52.385
2008-03-04,51.7
2008-03-05,51.565
2008-03-06,50.555
2008-03-07,51.815
2008-03-10,50.115
2008-03-14,51.345
2008-03-19,52.27500000000001
2008-03-25,53.35
2008-03-26,52.42
2008-03-27,50.78
2008-03-28,51.99
2008-04-03,52.16
2008-04-07,55.475
2008-04-08,55.195
2008-04-09,52.325
2008-04-10,52.3
2008-04-11,51.54
2008-04-14,50.505
2008-04-15,51.03
2008-04-16,52.05
2008-04-17,53.035
2008-04-18,53.69
2008-04-21,52.775
2008-04-22,52.88
2008-04-23,52.34
2008-04-24,52.99500000000001
2008-04-25,53.525
2008-04-28,53.81
2008-04-29,53.665
2008-04-30,53.025
2008-05-01,56.2
2008-05-02,54.59
2008-05-05,54.445
2008-05-06,54.63
2008-05-07,53.52500000000001
2008-05-08,53.32
2008-05-09,53.12000000000001
2008-05-12,54.08
2008-05-13,54.055
2008-05-14,54.385
2008-05-15,54.8
2008-05-16,54.43
2008-05-19,54.235
2008-05-20,53.63
2008-05-21,53.165
2008-05-22,53.565
2008-05-23,52.795
2008-05-27,53.185
2008-05-28,52.61
2008-05-29,53.25
2008-05-30,53.13500000000001
2008-06-02,52.33
2008-06-03,51.75
2008-06-04,51.99
2008-06-05,52.86
2008-06-06,52.38500000000001
2008-06-09,52.13500000000001
2008-06-10,49.98
2008-06-11,51.61
2008-06-12,51.5
2008-06-13,49.055
2008-06-16,51.5
2008-06-17,49.0
2008-06-18,46.835
2008-06-19,47.015
2008-06-20,46.47
2008-06-23,46.28
2008-06-24,45.57
2008-06-25,46.575
2008-06-26,45.38
2008-06-27,44.09
2008-06-30,44.325
2008-07-01,46.05
2008-07-02,43.96
2008-07-03,43.49
2008-07-07,42.775
2008-07-08,44.945
2008-07-09,43.74
2008-07-10,43.835
2008-07-11,41.905
2008-07-14,42.35
2008-07-15,43.47
2008-07-16,44.785
2008-07-17,47.19
2008-07-18,45.17
2008-07-21,45.75
2008-07-22,47.99500000000001
2008-07-23,47.925
2008-07-24,47.64
2008-07-25,46.095
2008-07-28,42.455
2008-07-29,45.505
2008-07-30,47.395
2008-07-31,47.985
2008-08-01,46.865
2008-08-04,44.905
2008-08-05,48.435
2008-08-06,48.73
2008-08-07,47.625
2008-08-08,48.985
2008-08-11,50.645
2008-08-12,49.405
2008-08-13,47.935
2008-08-14,48.645
2008-08-15,49.135
2008-08-18,48.24
2008-08-19,47.755
2008-08-20,47.83
2008-08-21,49.0
2008-08-22,48.48
2008-08-25,47.23
2008-08-26,47.325
2008-08-27,49.85
2008-08-28,48.785
2008-08-29,48.645
2008-09-02,49.73
2008-09-03,50.02
2008-09-04,49.24
2008-09-05,50.105
2008-09-08,51.285
2008-09-09,49.705
2008-09-10,50.43
2008-09-11,50.225
2008-09-12,50.955
2008-09-15,48.825
2008-09-16,50.415
2008-09-17,48.13500000000001
2008-09-19,53.54
2008-09-22,53.115
2008-09-23,52.865
2008-09-24,52.7
2008-09-25,51.63
2008-09-26,52.325
2008-09-30,49.03
2008-10-01,52.82
2008-10-02,50.29
2008-10-03,51.77
2008-10-06,45.77
2008-10-07,44.845
2008-10-08,47.75
2008-10-09,46.075
2008-10-10,40.82
2008-10-13,43.22
2008-10-14,43.93
2008-10-15,40.86
2008-10-16,42.12000000000001
2008-10-17,41.63
2008-10-20,43.225
2008-10-21,43.055
2008-10-22,47.765
2008-10-23,41.415
2008-10-24,40.1
2008-10-27,38.085
2008-10-28,42.72
2008-10-29,41.77
2008-10-30,42.71
2008-10-31,43.895
2008-11-03,44.77
2008-11-04,45.25
2008-11-05,43.975
2008-11-06,41.425
2008-11-07,41.540000000000006
2008-11-10,41.09
2008-11-11,41.305
2008-11-12,40.39
2008-11-13,41.995
2008-11-14,42.5
2008-11-17,40.63500000000001
2008-11-18,39.59
2008-11-19,38.0
2008-11-20,35.59999999999999
2008-11-21,35.565
2008-11-24,38.72
2008-11-25,39.24500000000001
2008-11-26,39.875
