date,CAD,AUD,JPY,NZD,NOK,SEK,CHF,GBP,EUR
20000103,1.5172,1.4465,101.7,1.9033,7.964,8.443,1.5808,0.6146,1.0155
20000104,1.5239,1.4518,103.09,1.9238,7.934,8.36,1.5565,0.6109,1.0309
20000105,1.5267,1.4518,103.77,1.9339,7.935,8.353,1.5526,0.6092,1.0335
20000106,1.5291,1.4571,105.19,1.9436,7.94,8.3675,1.554,0.607,1.0324
20000107,1.5272,1.4505,105.17,1.938,7.966,8.415,1.5623,0.6104,1.0294
20000110,1.5242,1.4568,105.28,1.935,8.024,8.449,1.5704,0.6107,1.0252
20000111,1.5209,1.457,106.09,1.9365,7.969,8.397,1.5605,0.6068,1.0322
20000112,1.5202,1.455,105.76,1.9286,7.977,8.418,1.566,0.6073,1.0281
20000113,1.4954,1.4495,106.09,1.9084,7.9425,8.417,1.5707,0.6067,1.027
20000114,1.5004,1.4497,105.86,1.9186,7.997,8.474,1.5945,0.6115,1.0128
20000117,,,,,,,,,
20000118,1.506,1.4502,105.49,1.9342,8.01,8.468,1.5942,0.6105,1.0121
20000119,1.5074,1.4527,105.39,1.9399,8,8.487,1.5965,0.6083,1.0115
20000120,1.5002,1.4484,105.45,1.9486,7.977,8.468,1.5915,0.6047,1.0133
20000121,1.5103,1.442,104.96,1.9592,7.999,8.493,1.5973,0.6059,1.01
20000124,1.5281,1.44,105.52,1.9759,8.026,8.526,1.609,0.6053,1.0019
20000125,1.5286,1.4389,105.87,1.9732,8.036,8.521,1.6085,0.6067,1.0041
20000126,1.5373,1.4379,105.85,1.9763,8.0675,8.5285,1.6102,0.6099,1.0011
20000127,1.5267,1.435,104.91,1.9716,8.1475,8.615,1.6317,0.6111,0.989
20000128,1.5962,1.4495,107.15,2.0534,8.27,8.82,1.6485,0.6169,0.9765
20000131,1.5669,1.4517,107.33,2.019,8.301,8.815,1.6495,0.618,0.9757
20000201,1.5835,1.4468,107.67,2.0392,8.277,8.768,1.654,0.6192,0.9731
20000202,1.5723,1.4435,108.4,2.0416,8.225,8.708,1.6502,0.6227,0.9768
20000203,1.5657,1.4417,107.92,2.0133,8.158,8.577,1.6255,0.624,0.9887
20000204,1.5835,1.4467,107.54,2.0284,8.27,8.663,1.647,0.6283,0.976
20000207,1.5775,1.4457,108.75,2.0259,8.259,8.66,1.6426,0.6283,0.9783
20000208,1.5741,1.4473,109.59,2.0243,8.1835,8.595,1.6301,0.6209,0.9862
20000209,1.576,1.4443,109.11,2.0325,8.145,8.544,1.6232,0.6205,0.9914
20000210,1.5823,1.45,108.74,2.0263,8.175,8.585,1.628,0.6228,0.9865
20000211,1.5918,1.4515,108.99,2.0346,8.212,8.608,1.6305,0.628,0.9847
20000214,1.5926,1.4547,108.65,2.0542,8.248,8.679,1.6435,0.6293,0.9783
20000215,1.5873,1.4585,108.75,2.0534,8.2515,8.68,1.633,0.627,0.9834
20000216,1.587,1.452,109.38,2.0412,8.239,8.6695,1.6302,0.6234,0.9842
20000217,1.5823,1.4522,110.27,2.0255,8.285,8.68,1.6274,0.6231,0.9863
